,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18
1,DAL @ PHI : 0.825,CLE @ BAL : 0.913,MIA @ BUF : 0.891,NO @ BUF : 0.935,NE @ BUF : 0.897,PHI @ NYG : 0.872,LV @ KC : 0.868,NYG @ PHI : 0.918,CAR @ GB : 0.92,BUF @ MIA : 0.832,BAL @ CLE : 0.865,NYJ @ BAL : 0.908,CHI @ PHI : 0.854,NO @ TB : 0.863,LV @ PHI : 0.909,NE @ BAL : 0.897,CHI @ SF : 0.755,NYJ @ BUF : 0.909
2,NYG @ WAS : 0.819,BUF @ NYJ : 0.858,GB @ CLE : 0.835,CLE @ DET : 0.886,HOU @ BAL : 0.81,LAR @ BAL : 0.748,NYG @ DEN : 0.817,BUF @ CAR : 0.899,NO @ LAR : 0.861,LV @ DEN : 0.798,GB @ NYG : 0.846,NYG @ DET : 0.894,LV @ LAC : 0.833,CHI @ GB : 0.825,BUF @ NE : 0.841,BUF @ CLE : 0.866,SEA @ CAR : 0.716,CAR @ TB : 0.864
3,TEN @ DEN : 0.789,SF @ NO : 0.819,KC @ NYG : 0.818,JAX @ SF : 0.833,KC @ JAX : 0.791,CLE @ PIT : 0.748,NO @ CHI : 0.756,CHI @ BAL : 0.856,BAL @ MIA : 0.831,NE @ TB : 0.792,CAR @ ATL : 0.794,CAR @ SF : 0.883,LAR @ CAR : 0.792,PIT @ BAL : 0.82,TEN @ SF : 0.832,TB @ CAR : 0.794,JAX @ IND : 0.702,CLE @ CIN : 0.815
4,ARI @ NO : 0.729,CAR @ ARI : 0.817,NYJ @ TB : 0.812,LAC @ NYG : 0.773,DEN @ PHI : 0.764,BUF @ ATL : 0.747,IND @ LAC : 0.722,NYJ @ CIN : 0.805,SF @ NYG : 0.782,JAX @ HOU : 0.743,TB @ BUF : 0.747,NE @ CIN : 0.784,SF @ CLE : 0.769,DAL @ DET : 0.78,WAS @ NYG : 0.734,JAX @ DEN : 0.79,TB @ MIA : 0.683,KC @ LV : 0.799
5,CIN @ CLE : 0.728,CHI @ DET : 0.815,NO @ SEA : 0.804,TEN @ HOU : 0.741,TEN @ ARI : 0.746,CIN @ GB : 0.709,LAR @ JAX : 0.716,TB @ NO : 0.793,LAC @ TEN : 0.741,NYG @ CHI : 0.711,LAC @ JAX : 0.742,IND @ KC : 0.773,CIN @ BAL : 0.754,CIN @ BUF : 0.756,MIA @ PIT : 0.696,KC @ TEN : 0.79,DEN @ KC : 0.681,NO @ ATL : 0.792
6,MIA @ IND : 0.665,JAX @ CIN : 0.801,LV @ WAS : 0.801,GB @ DAL : 0.697,LV @ IND : 0.712,LAC @ MIA : 0.709,ATL @ SF : 0.715,TEN @ IND : 0.7,MIN @ DET : 0.723,PIT @ LAC : 0.692,CHI @ MIN : 0.684,JAX @ ARI : 0.748,BUF @ PIT : 0.736,HOU @ KC : 0.735,CLE @ CHI : 0.695,PIT @ DET : 0.771,HOU @ LAC : 0.679,WAS @ PHI : 0.76
7,CAR @ JAX : 0.659,NYG @ DAL : 0.753,LAR @ PHI : 0.745,IND @ LAR : 0.694,MIN @ CLE : 0.699,CHI @ WAS : 0.703,TB @ DET : 0.684,GB @ PIT : 0.687,CHI @ CIN : 0.713,BAL @ MIN : 0.682,WAS @ MIA : 0.662,PHI @ DAL : 0.741,NO @ MIA : 0.694,DEN @ LV : 0.706,ATL @ TB : 0.68,LV @ HOU : 0.752,NO @ TEN : 0.659,BAL @ PIT : 0.734
8,HOU @ LAR : 0.649,LAC @ LV : 0.752,ATL @ CAR : 0.7,CAR @ NE : 0.682,DAL @ NYJ : 0.616,DAL @ CAR : 0.702,PHI @ MIN : 0.678,MIA @ ATL : 0.683,KC @ BUF : 0.666,LAR @ SF : 0.607,SEA @ LAR : 0.659,MIN @ GB : 0.737,KC @ DAL : 0.654,PHI @ LAC : 0.608,BAL @ CIN : 0.651,GB @ CHI : 0.741,DAL @ WAS : 0.656,DET @ CHI : 0.727
9,PIT @ NYJ : 0.628,WAS @ GB : 0.719,ARI @ SF : 0.683,PHI @ TB : 0.636,WAS @ LAC : 0.614,DEN @ NYJ : 0.701,GB @ ARI : 0.667,WAS @ KC : 0.676,SEA @ WAS : 0.641,DET @ WAS : 0.59,HOU @ TEN : 0.635,BUF @ HOU : 0.723,ARI @ TB : 0.646,IND @ JAX : 0.588,LAC @ KC : 0.628,MIN @ NYG : 0.715,PIT @ CLE : 0.643,SEA @ SF : 0.699
10,LV @ NE : 0.599,LAR @ TEN : 0.714,HOU @ JAX : 0.637,NYJ @ MIA : 0.61,MIA @ CAR : 0.582,SEA @ JAX : 0.625,PIT @ CIN : 0.656,DAL @ DEN : 0.652,IND @ PIT : 0.597,CLE @ NYJ : 0.578,DET @ PHI : 0.631,ATL @ NO : 0.698,NYG @ NE : 0.628,SEA @ ATL : 0.544,GB @ DEN : 0.612,CIN @ MIA : 0.673,ARI @ CIN : 0.635,DAL @ NYG : 0.649
11,SF @ SEA : 0.585,ATL @ MIN : 0.637,DET @ BAL : 0.635,SEA @ ARI : 0.581,DET @ CIN : 0.579,NE @ NO : 0.563,CAR @ NYJ : 0.654,MIN @ LAC : 0.636,ATL @ NE : 0.583,NO @ CAR : 0.56,DAL @ LV : 0.622,SEA @ TEN : 0.623,ATL @ NYJ : 0.614,WAS @ MIN : 0.539,IND @ SEA : 0.601,PHI @ WAS : 0.658,DET @ MIN : 0.613,ARI @ LAR : 0.642
